Qty,Value,Device,Package,Parts,,Description,PROD_ID     VALUE
3,,SMARTPRJ_R-EU_R0402,SMARTPRJ_R0402,"R3, R6,",R9,"RESISTOR, European symbol",
1,,SMARTPRJ_R-EU_R0603,SMARTPRJ_R0603-ROUND,R7,,"RESISTOR, European symbol",
4,100n,C-EUC0402,C0402,"C6, C9,","C10, C11","CAPACITOR, European symbol",
3,10K,R-EU_R0402,R0402,"R1, R2,",R4,"RESISTOR, European symbol",
1,16MHz KX-7,CRYSTAL-3.2-2.5,CRYSTAL-3.2-2.5,Y3,,,
2,1K,R-EU_R0402,R0402,"R5, R8",,"RESISTOR, European symbol",
3,1uF,C-EUC0402,C0402,"C4, C7,",C8,"CAPACITOR, European symbol",
1,1uF,SMARTPRJ_C-EUC0603,SMARTPRJ_C0603-ROUND,C5,,"CAPACITOR, European symbol",
2,200mA/50V,MOSFET-NCHANNELBSS138,SOT23-3,"Q1, Q2",,Common NMOSFET Parts,TRANS-00830 200mA/50V
1,22R,4R-NCAY16,CAY16,RP3,,Array Chip Resistor,
2,22pF,C-EUC0402,C0402,"C12, C1",3,"CAPACITOR, European symbol",
1,22u,CPOL-EUSMCB,SMC_B,C14,,"POLARIZED CAPACITOR, European",symbol
1,3x2M,PINHD-2X3,2X03,J4,,PIN HEADER,
1,ATMEGA32U4-XUMU,ATMEGA32U4-XUMU,QFN44ML7X7,U1,,,
1,CD1206-S01575,DIODE-MINIMELF,MINIMELF,D2,,DIODE,
2,CG0603MLC-05E,VARISTORCN0603,CT/CN0603,"Z1, Z2",,VARISTOR,
1,LP2985-33DBVR,LP2985-XXDBVR33,SOT23-DBV,U4,,ULTRALOW-POWER 50-mA LOW-DROP,OUT LINEAR REGULATORS
1,MF-MSMF050-2 500mA,L-EUL1812,L1812,F1,,"INDUCTOR, European symbol",
1,MH2029-300Y,WE-CBF_0805,805,L2,,SMD EMI Suppression Ferrite B,eads
1,SI1145,SI1145,QFN-10,IC1,,PROXIMITY/UV/AMBIENT LIGHT SE,NSOR IC WITH I2C INTERFACE
1,TS42,TS42,TS42,RESET,,TS42,
1,USB-MICRO!!!,"USB-MICROB""",USB-B-MICRO-SMD_V03,J3,,,CONN-11752
1,blue,LEDCHIPLED_0805,CHIPLED_0805,ON,,LED,
1,green,LEDCHIPLED_0805,CHIPLED_0805,L,,LED,
