Part,Value,Device,Package,Description,,,PROD_ID     VALUE
C4,1uF,C-EUC0402,C0402,"CAPACITOR, European symbol",,,
C5,1uF,SMARTPRJ_C-EUC0603,SMARTPRJ_C0603-ROUND,"CAPACITOR, European symbol",,,
C6,100n,C-EUC0402,C0402,"CAPACITOR, European symbol",,,
C7,1uF,C-EUC0402,C0402,"CAPACITOR, European symbol",,,
C8,1uF,C-EUC0402,C0402,"CAPACITOR, European symbol",,,
C9,100n,C-EUC0402,C0402,"CAPACITOR, European symbol",,,
C10,100n,C-EUC0402,C0402,"CAPACITOR, European symbol",,,
C11,100n,C-EUC0402,C0402,"CAPACITOR, European symbol",,,
C12,22pF,C-EUC0402,C0402,"CAPACITOR, European symbol",,,
C13,22pF,C-EUC0402,C0402,"CAPACITOR, European symbol",,,
C14,22u,CPOL-EUSMCB,SMC_B,"POLARIZED CAPACITOR, Europe",an,symbol,
D2,CD1206-S01575,DIODE-MINIMELF,MINIMELF,DIODE,,,
F1,MF-MSMF050-2 500mA,L-EUL1812,L1812,"INDUCTOR, European symbol",,,
IC1,SI1145,SI1145,QFN-10,PROXIMITY/UV/AMBIENT LIGHT,SE,NSOR IC WITH I2C,INTERFACE
J3,USB-MICRO!!!,"USB-MICROB""",USB-B-MICRO-SMD_V03,,,,CONN-11752
J4,3x2M,PINHD-2X3,2X03,PIN HEADER,,,
L,green,LEDCHIPLED_0805,CHIPLED_0805,LED,,,
L2,MH2029-300Y,WE-CBF_0805,805,SMD EMI Suppression Ferrite,B,eads,
ON,blue,LEDCHIPLED_0805,CHIPLED_0805,LED,,,
Q1,200mA/50V,MOSFET-NCHANNELBSS138,SOT23-3,Common NMOSFET Parts,,,TRANS-00830 200mA/50V
Q2,200mA/50V,MOSFET-NCHANNELBSS138,SOT23-3,Common NMOSFET Parts,,,TRANS-00830 200mA/50V
R1,10K,R-EU_R0402,R0402,"RESISTOR, European symbol",,,
R2,10K,R-EU_R0402,R0402,"RESISTOR, European symbol",,,
R3,,SMARTPRJ_R-EU_R0402,SMARTPRJ_R0402,"RESISTOR, European symbol",,,
R4,10K,R-EU_R0402,R0402,"RESISTOR, European symbol",,,
R5,1K,R-EU_R0402,R0402,"RESISTOR, European symbol",,,
R6,,SMARTPRJ_R-EU_R0402,SMARTPRJ_R0402,"RESISTOR, European symbol",,,
R7,,SMARTPRJ_R-EU_R0603,SMARTPRJ_R0603-ROUND,"RESISTOR, European symbol",,,
R8,1K,R-EU_R0402,R0402,"RESISTOR, European symbol",,,
R9,,SMARTPRJ_R-EU_R0402,SMARTPRJ_R0402,"RESISTOR, European symbol",,,
RESET,TS42,TS42,TS42,TS42,,,
RP3,22R,4R-NCAY16,CAY16,Array Chip Resistor,,,
U1,ATMEGA32U4-XUMU,ATMEGA32U4-XUMU,QFN44ML7X7,,,,
U4,LP2985-33DBVR,LP2985-XXDBVR33,SOT23-DBV,ULTRALOW-POWER 50-mA LOW-DR,OP,OUT LINEAR REGUL,ATORS
Y3,16MHz KX-7,CRYSTAL-3.2-2.5,CRYSTAL-3.2-2.5,,,,
Z1,CG0603MLC-05E,VARISTORCN0603,CT/CN0603,VARISTOR,,,
Z2,CG0603MLC-05E,VARISTORCN0603,CT/CN0603,VARISTOR,,,
